TIME,GEO,PURCHASE,UNIT,Value,Flag and Footnotes
2018,Latvia,Total,Annual average rate of change,9.6,
2018,Latvia,Purchases of new dwellings,Annual average index,123.67,
2018,Latvia,Purchases of new dwellings,Annual average rate of change,6.1,
2018,Latvia,Purchases of existing dwellings,Annual average index,130.24,
2018,Latvia,Purchases of existing dwellings,Annual average rate of change,10.2,
2018,Lithuania,Total,Annual average index,123.18,
2018,Lithuania,Total,Annual average rate of change,7.3,
2018,Lithuania,Purchases of new dwellings,Annual average index,121.02,
2018,Lithuania,Purchases of new dwellings,Annual average rate of change,7.8,
2018,Lithuania,Purchases of existing dwellings,Annual average index,123.78,
2018,Lithuania,Purchases of existing dwellings,Annual average rate of change,7.1,
2018,Hungary,Total,Annual average index,145.5,
2018,Hungary,Total,Annual average rate of change,14.3,
2018,Hungary,Purchases of new dwellings,Annual average index,148.67,
2018,Hungary,Purchases of new dwellings,Annual average rate of change,13.7,
2018,Hungary,Purchases of existing dwellings,Annual average index,145.3,
2018,Hungary,Purchases of existing dwellings,Annual average rate of change,14.4,
2018,Poland,Total,Annual average index,112.74,
2018,Poland,Total,Annual average rate of change,6.6,
2018,Poland,Purchases of new dwellings,Annual average index,110.02,
2018,Poland,Purchases of new dwellings,Annual average rate of change,5.5,
2018,Poland,Purchases of existing dwellings,Annual average index,115.17,
2018,Poland,Purchases of existing dwellings,Annual average rate of change,7.5,
